Target type`Target member`Assembly`.NET Framework`.NET Standard`Recommended changes
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Request`Voat.Business`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Request`Voat.UI`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Response`Voat.Business`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Response`Voat.UI`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Server`Voat.Business`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Server`Voat.UI`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_User`Voat.Data`Supported: 1.1+`Not supported`
T:System.Xml.XmlNode`T:System.Xml.XmlNode`Voat.Business`Supported: 1.1+`Supported: 2.0+`
T:System.Xml.XmlNode`T:System.Xml.XmlNode`Voat.Logging`Supported: 1.1+`Supported: 2.0+`
T:System.Xml.XmlNode`T:System.Xml.XmlNode`Voat.RulesEngine`Supported: 1.1+`Supported: 2.0+`
T:System.Xml.XmlNode`M:System.Xml.XmlNode.get_Attributes`Voat.Business`Supported: 1.1+`Supported: 2.0+`
T:System.Xml.XmlNode`M:System.Xml.XmlNode.get_Value`Voat.Business`Supported: 1.1+`Supported: 2.0+`
T:System.Xml.XmlNode`M:System.Xml.XmlNode.SelectNodes(System.String)`Voat.Business`Supported: 1.1+`Not supported`
T:System.Web.Mvc.FilterAttribute`T:System.Web.Mvc.FilterAttribute`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.FilterAttribute`M:System.Web.Mvc.FilterAttribute.#ctor`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.AllowHtmlAttribute`T:System.Web.Mvc.AllowHtmlAttribute`Voat.Data`Not supported`Not supported`
T:System.Web.Mvc.AllowHtmlAttribute`T:System.Web.Mvc.AllowHtmlAttribute`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.AllowHtmlAttribute`M:System.Web.Mvc.AllowHtmlAttribute.#ctor`Voat.Data`Not supported`Not supported`
T:System.Web.Mvc.AllowHtmlAttribute`M:System.Web.Mvc.AllowHtmlAttribute.#ctor`Voat.UI`Not supported`Not supported`
T:System.Web.Http.ExceptionHandling.IExceptionLogger`T:System.Web.Http.ExceptionHandling.IExceptionLogger`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.RedirectResult`T:System.Web.Mvc.RedirectResult`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.RedirectResult`M:System.Web.Mvc.RedirectResult.#ctor(System.String)`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.HttpUnauthorizedResult`T:System.Web.Mvc.HttpUnauthorizedResult`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.HttpUnauthorizedResult`M:System.Web.Mvc.HttpUnauthorizedResult.#ctor`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.GlobalFilters`T:System.Web.Mvc.GlobalFilters`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.GlobalFilters`M:System.Web.Mvc.GlobalFilters.get_Filters`Voat.UI`Not supported`Not supported`
T:System.Web.HttpCookieCollection`T:System.Web.HttpCookieCollection`Voat.UI`Supported: 1.1+`Not supported`
T:System.Web.HttpCookieCollection`T:System.Web.HttpCookieCollection`Voat.Business`Supported: 1.1+`Not supported`
T:System.Web.HttpCookieCollection`M:System.Web.HttpCookieCollection.Add(System.Web.HttpCookie)`Voat.Business`Supported: 1.1+`Not supported`
T:System.Web.HttpCookieCollection`M:System.Web.HttpCookieCollection.Add(System.Web.HttpCookie)`Voat.UI`Supported: 1.1+`Not supported`
T:System.Web.HttpCookieCollection`M:System.Web.HttpCookieCollection.get_AllKeys`Voat.UI`Supported: 1.1+`Not supported`
T:System.Web.HttpCookieCollection`M:System.Web.HttpCookieCollection.get_Item(System.String)`Voat.Business`Supported: 1.1+`Not supported`
T:System.Web.HttpCookieCollection`M:System.Web.HttpCookieCollection.get_Item(System.String)`Voat.UI`Supported: 1.1+`Not supported`
T:System.ServiceModel.Syndication.SyndicationItem`T:System.ServiceModel.Syndication.SyndicationItem`Voat.UI`Supported: 3.5+`Not supported`
T:System.ServiceModel.Syndication.SyndicationItem`M:System.ServiceModel.Syndication.SyndicationItem.#ctor(System.String,System.String,System.Uri,System.String,System.DateTimeOffset)`Voat.UI`Supported: 3.5+`Not supported`
T:System.ComponentModel.DataAnnotations.DataType`T:System.ComponentModel.DataAnnotations.DataType`Voat.UI`Supported: 3.5+`Not supported`
T:System.Threading.Thread`T:System.Threading.Thread`Voat.UI`Supported: 1.1+`Supported: 2.0+`
T:System.Threading.Thread`T:System.Threading.Thread`Voat.Tests`Supported: 1.1+`Supported: 2.0+`
T:System.Threading.Thread`T:System.Threading.Thread`Voat.Business`Supported: 1.1+`Supported: 2.0+`
T:System.Threading.Thread`M:System.Threading.Thread.get_CurrentPrincipal`Voat.Business`Supported: 1.1+`Supported: 2.0+`
T:System.Threading.Thread`M:System.Threading.Thread.get_CurrentPrincipal`Voat.Tests`Supported: 1.1+`Supported: 2.0+`
T:System.Threading.Thread`M:System.Threading.Thread.get_CurrentThread`Voat.UI`Supported: 1.1+`Supported: 2.0+`
T:System.Threading.Thread`M:System.Threading.Thread.set_CurrentCulture(System.Globalization.CultureInfo)`Voat.UI`Supported: 1.1+`Supported: 2.0+`Use System.Globalization.CultureInfo.CurrentCulture.
T:System.Threading.Thread`M:System.Threading.Thread.set_CurrentPrincipal(System.Security.Principal.IPrincipal)`Voat.Tests`Supported: 1.1+`Supported: 2.0+`
T:System.Threading.Thread`M:System.Threading.Thread.Sleep(System.Int32)`Voat.Tests`Supported: 1.1+`Supported: 2.0+`
T:System.Threading.Thread`M:System.Threading.Thread.Sleep(System.TimeSpan)`Voat.Tests`Supported: 1.1+`Supported: 2.0+`
T:System.Web.Mvc.UrlParameter`T:System.Web.Mvc.UrlParameter`Voat.UI`Not supported`Not supported`
T:System.Web.Mvc.UrlParameter`F:System.Web.Mvc.UrlParameter.Optional`Voat.UI`Not supported`Not supported`
T:System.Linq.Queryable`T:System.Linq.Queryable`Voat.Tests`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`T:System.Linq.Queryable`Voat.UI`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`T:System.Linq.Queryable`Voat.Business`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.Any``1(System.Linq.IQueryable{``0})"`Voat.Business`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.Any``1(System.Linq.IQueryable{``0})"`Voat.UI`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.Any``1(System.Linq.IQueryable{``0},System.Linq.Expressions.Expression{System.Func{``0,System.Boolean}})"`Voat.Business`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`M:System.Linq.Queryable.AsQueryable(System.Collections.IEnumerable)`Voat.UI`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.AsQueryable``1(System.Collections.Generic.IEnumerable{``0})"`Voat.Business`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.AsQueryable``1(System.Collections.Generic.IEnumerable{``0})"`Voat.UI`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.Concat``1(System.Linq.IQueryable{``0},System.Collections.Generic.IEnumerable{``0})"`Voat.UI`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.Contains``1(System.Linq.IQueryable{``0},``0)"`Voat.Business`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.Contains``1(System.Linq.IQueryable{``0},``0)"`Voat.UI`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.Count``1(System.Linq.IQueryable{``0})"`Voat.Business`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.Count``1(System.Linq.IQueryable{``0})"`Voat.Tests`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.Count``1(System.Linq.IQueryable{``0})"`Voat.UI`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.Count``1(System.Linq.IQueryable{``0},System.Linq.Expressions.Expression{System.Func{``0,System.Boolean}})"`Voat.Business`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.Count``1(System.Linq.IQueryable{``0},System.Linq.Expressions.Expression{System.Func{``0,System.Boolean}})"`Voat.UI`Supported: 3.5+`Supported: 2.0+`
T:System.Linq.Queryable`"M:System.Linq.Queryable.FirstOrDefault``1(System.Linq.IQueryable{``0})"`Voat.Business`Supported: 3.5+`Supported: 2.0+`
